Marker,Quarterly,Online_marketing_services_and_others,Transaction_Services,Costs_of_Revenues,sales_and_marketing_expenses,operating_profit,Receivables_from_online_payment_platforms,Prepayments_and_other_current_assets,Cash_and_cash_equivalents,short_term_investments,Net_cash_generated_from_operating_activities
1,q1_2023,27244426,10392624,11125285,16259688,6929018,693111,2287742,19771265,137263553,1338022
2,q2_2023,37932831,14347917,18689787,17542209,12718755,1559765,2985263,31379326,148129260,23395981
3,q3_2023,39687678,29152693,26830233,21748449,16656021,2547134,3629894,54939761,147906904,32537857
4,q4_2023,48675618,40205418,35078272,26638524,22394968,3914117,4213015,59794469,157415365,36890671
5,q1_2024,42456243,44355816,32694686,23410655,25973653,4769048,3482432,55591888,186539732,21067179
6,q2_2024,49115866,47943665,33698098,26049137,32564536,5491131,3957931,56756329,228170850,43792640
7,q3_2024,49351022,50003379,39709214,30483800,24292458,4633683,4053807,65295431,243166321,27522313
8,q4_2024,57011061,53599045,47798376,31356941,25592215,3679309,4413466,57768053,273791856,29547160
9,q1_2025,48722171,46950004,40947100,33402741,16085563,5475075,5254619,70126217,294374619,15516943
10,q2_2025,55703222,48281610,45858933,27209896,25792899,6007506,7540578,63222442,323908642,21641656